Round 3 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  tumor_median_nnd: r=+0.425
  tumor_mean_nnd: r=+0.405
  tumor_nnd_cv: r=-0.097
  gland_mask_fraction: r=-0.264
  gland_component_count: r=+0.216
  gland_component_count_norm: r=-0.260
  gland_mean_component_area: r=-0.190
  gland_median_component_area: r=-0.266
  gland_total_area_norm: r=-0.307
  gland_max_component_area: r=+0.015
  gland_large_component_count: r=+0.156
  gland_large_component_ratio: r=-0.257

ALL CONFIGURATIONS (sorted by adjusted score):
  gland_median_area_only__ElasticNet_a0.5: adjusted=-1.0000 (LOO r=-0.995, IS r=0.000, gap=0.995) [F1=0.167 QWK=0.000]
  gland_total_area_norm_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.241, IS r=0.307, gap=0.547) [F1=0.167 QWK=0.000]
  gland_total_area_norm_only__ElasticNet_a0.5: adjusted=-1.0000 (LOO r=-0.835, IS r=0.307, gap=1.141) [F1=0.167 QWK=0.000]
  gland_max_area_only__Ridge_a1: adjusted=-1.0000 (LOO r=-0.604, IS r=0.015, gap=0.619) [F1=0.171 QWK=-0.095]
  gland_max_area_only__Ridge_a10: adjusted=-1.0000 (LOO r=-0.648, IS r=0.015, gap=0.663) [F1=0.167 QWK=0.000]
  gland_max_area_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.872, IS r=0.015, gap=0.887) [F1=0.167 QWK=0.000]
  gland_max_area_only__ElasticNet_a0.1: adjusted=-1.0000 (LOO r=-0.606, IS r=0.000, gap=0.606) [F1=0.167 QWK=0.000]
  gland_max_area_only__ElasticNet_a0.5: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_max_area_only__PLS_1: adjusted=-1.0000 (LOO r=-0.599, IS r=0.015, gap=0.614) [F1=0.171 QWK=-0.095]
  gland_large_count_only__Ridge_a10: adjusted=-1.0000 (LOO r=-0.164, IS r=0.156, gap=0.320) [F1=0.154 QWK=0.000]
  gland_large_count_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.543, IS r=0.156, gap=0.699) [F1=0.167 QWK=0.000]
  gland_large_count_only__ElasticNet_a0.1: adjusted=-1.0000 (LOO r=-0.235, IS r=0.156, gap=0.392) [F1=0.154 QWK=0.000]
  gland_large_count_only__ElasticNet_a0.5: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_large_ratio_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.357, IS r=0.257, gap=0.614) [F1=0.167 QWK=0.000]
  gland_large_ratio_only__ElasticNet_a0.5: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_mask_frac_only__Ridge_a100: adjusted=-1.0000 (LOO r=-0.377, IS r=0.264, gap=0.641) [F1=0.167 QWK=0.000]
