Round 2 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  gland_mask_fraction: r=-0.264
  tumor_mean_nnd: r=+0.405
  tumor_median_nnd: r=+0.425
  tumor_nnd_cv: r=-0.097
  tumor_nnd_std: r=+0.245
  tumor_nnd_iqr: r=+0.378
  tumor_cell_count_st: r=+0.296
  tumor_cell_fraction: r=+0.071
  tumor_cell_density: r=+0.301

ALL CONFIGURATIONS (sorted by adjusted score):
  tumor_frac_only__PLS_1: adjusted=-1.0000 (LOO r=-0.511, IS r=0.071, gap=0.582) [F1=0.171 QWK=-0.095]
  gland_ratio+mean_nnd__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_ratio+median_nnd__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_ratio+nnd_cv__Ridge_a100: adjusted=-1.0000 (LOO r=-0.044, IS r=0.463, gap=0.507) [F1=0.167 QWK=0.000]
  gland_ratio+nnd_cv__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_ratio+nnd_iqr__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_ratio+density__Ridge_a100: adjusted=-1.0000 (LOO r=0.116, IS r=0.443, gap=0.327) [F1=0.167 QWK=0.000]
  gland_ratio+density__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_mask+mean_nnd__Ridge_a100: adjusted=-1.0000 (LOO r=0.103, IS r=0.468, gap=0.365) [F1=0.167 QWK=0.000]
  gland_mask+mean_nnd__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_ratio+mask__Ridge_a100: adjusted=-1.0000 (LOO r=0.077, IS r=0.406, gap=0.329) [F1=0.167 QWK=0.000]
  gland_ratio+mask__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_ratio+nnd+cv__Ridge_a100: adjusted=-1.0000 (LOO r=0.203, IS r=0.510, gap=0.307) [F1=0.167 QWK=0.000]
  gland_ratio+nnd+cv__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_ratio+mask+nnd__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_ratio+nnd+iqr__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]
  gland_ratio+nnd+density__ElasticNet_a1: adjusted=-1.0000 (LOO r=-1.000, IS r=0.000, gap=1.000) [F1=0.167 QWK=0.000]

BEST: gland_ratio+median_nnd__PLS_1 adjusted=0.4358
