Round 10 Details
================================================================================

Best model: gland_PCA20_a1
Description: gland emb PCA(20) + Ridge(a=1)
LOO Pearson r: 0.6571
IS Pearson r: 0.9466
Gap: 0.2895
Adjusted: 0.5874

Best per category:
  Gland Embedding: gland_PCA20_a1 adj=0.5874 LOO_r=0.6571 gap=0.2895
  Tumor Cell Embedding: tumor_PCA3_a1 adj=0.1153 LOO_r=0.1665 gap=0.2524
  Combined Embedding: combined_PCA5_a1 adj=0.2029 LOO_r=0.2639 gap=0.2720
  Blend: blend_g0.7_gland_PCA20_a1_c0.3_combined_PCA5_a20 adj=0.5667 LOO_r=0.6387 gap=0.2939
  ElasticNet: gland_EN_PCA20_a0.01_l10.5 adj=0.5854 LOO_r=0.6558 gap=0.2907

All configurations (sorted by adjusted):
  combined_PCA10_a200: adj=-1.0000 LOO_r=0.2524 IS_r=0.7002 gap=0.4478 F1=0.3283 QWK=0.0000
  combined_PCA12_a1: adj=-1.0000 LOO_r=0.4361 IS_r=0.8319 gap=0.3958 F1=0.4747 QWK=0.3571
  combined_PCA12_a5: adj=-1.0000 LOO_r=0.4355 IS_r=0.8317 gap=0.3962 F1=0.4747 QWK=0.3571
  combined_PCA12_a10: adj=-1.0000 LOO_r=0.4356 IS_r=0.8317 gap=0.3961 F1=0.4747 QWK=0.3571
  combined_PCA12_a20: adj=-1.0000 LOO_r=0.4347 IS_r=0.8315 gap=0.3968 F1=0.4747 QWK=0.3571
  combined_PCA12_a50: adj=-1.0000 LOO_r=0.4322 IS_r=0.8310 gap=0.3988 F1=0.4747 QWK=0.3571
  combined_PCA12_a100: adj=-1.0000 LOO_r=0.4283 IS_r=0.8300 gap=0.4017 F1=0.4309 QWK=0.2963
  combined_PCA12_a200: adj=-1.0000 LOO_r=0.4209 IS_r=0.8273 gap=0.4064 F1=0.4309 QWK=0.2963
  combined_PCA15_a1: adj=-1.0000 LOO_r=0.4856 IS_r=0.8534 gap=0.3678 F1=0.4747 QWK=0.3571
  combined_PCA15_a5: adj=-1.0000 LOO_r=0.4853 IS_r=0.8533 gap=0.3681 F1=0.4747 QWK=0.3571
  combined_PCA15_a10: adj=-1.0000 LOO_r=0.4851 IS_r=0.8533 gap=0.3682 F1=0.4747 QWK=0.3571
