Round 12 Details
================================================================================

Best model: blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1
Description: Blend 0.60*gland_PCA20_a0.1 + 0.40*tumor_PCA12_a0.1
LOO Pearson r: 0.6750
IS Pearson r: 0.9430
Gap: 0.2680
Adjusted: 0.6160

Best per category:
  Gland Embedding: gland_PCA20_a0.1 adj=0.5877 LOO_r=0.6573 gap=0.2893
  Tumor Embedding: tumor_PCA12_a0.1 adj=0.5200 LOO_r=0.5812 gap=0.2723
  Cell Embedding: cell_PCA5_a0.1 adj=-1.0000 LOO_r=0.0449 gap=0.3825
  GT Combined: gt_combined_PCA10_a1 adj=0.4769 LOO_r=0.5451 gap=0.2863
  GC Combined: gc_combined_PCA10_a1 adj=-1.0000 LOO_r=0.2481 gap=0.4537
  All3 Combined: all3_combined_PCA10_a1 adj=-1.0000 LOO_r=0.3562 gap=0.4156
  Blend GT (2-way): blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1 adj=0.6160 LOO_r=0.6750 gap=0.2680

  tumor_PCA8_a1: adj=-1.0000 LOO_r=0.3453 IS_r=0.8005 gap=0.4552 F1=0.3392 QWK=0.2963
  tumor_PCA8_a5: adj=-1.0000 LOO_r=0.3453 IS_r=0.8004 gap=0.4552 F1=0.2880 QWK=0.2308
  tumor_PCA8_a10: adj=-1.0000 LOO_r=0.3453 IS_r=0.8003 gap=0.4551 F1=0.2880 QWK=0.2308
  tumor_PCA8_a50: adj=-1.0000 LOO_r=0.3459 IS_r=0.7996 gap=0.4537 F1=0.3105 QWK=0.2400
  tumor_PCA15_a0.1: adj=-1.0000 LOO_r=0.5799 IS_r=0.9008 gap=0.3209 F1=0.5643 QWK=0.5000
  tumor_PCA15_a1: adj=-1.0000 LOO_r=0.5799 IS_r=0.9007 gap=0.3208 F1=0.5643 QWK=0.5000
  tumor_PCA15_a5: adj=-1.0000 LOO_r=0.5799 IS_r=0.9007 gap=0.3208 F1=0.5643 QWK=0.5000
  tumor_PCA15_a10: adj=-1.0000 LOO_r=0.5799 IS_r=0.9007 gap=0.3209 F1=0.5643 QWK=0.5000
  tumor_PCA15_a50: adj=-1.0000 LOO_r=0.5794 IS_r=0.9002 gap=0.3209 F1=0.5228 QWK=0.4516
  tumor_PCA20_a0.1: adj=-1.0000 LOO_r=0.4867 IS_r=0.9136 gap=0.4269 F1=0.4163 QWK=0.4706
  tumor_PCA20_a1: adj=-1.0000 LOO_r=0.4870 IS_r=0.9136 gap=0.4266 F1=0.4163 QWK=0.4706
  tumor_PCA20_a5: adj=-1.0000 LOO_r=0.4884 IS_r=0.9135 gap=0.4252 F1=0.4163 QWK=0.4706
  tumor_PCA20_a10: adj=-1.0000 LOO_r=0.4900 IS_r=0.9135 gap=0.4235 F1=0.4470 QWK=0.4848
  tumor_PCA20_a50: adj=-1.0000 LOO_r=0.5005 IS_r=0.9129 gap=0.4124 F1=0.4470 QWK=0.4848
  cell_PCA5_a0.1: adj=-1.0000 LOO_r=0.0449 IS_r=0.4274 gap=0.3825 F1=0.2134 QWK=0.0000
  cell_PCA5_a1: adj=-1.0000 LOO_r=0.0449 IS_r=0.4274 gap=0.3824 F1=0.2134 QWK=0.0000
  cell_PCA5_a5: adj=-1.0000 LOO_r=0.0452 IS_r=0.4274 gap=0.3821 F1=0.2134 QWK=0.0000
  cell_PCA5_a10: adj=-1.0000 LOO_r=0.0456 IS_r=0.4274 gap=0.3817 F1=0.2134 QWK=0.0000
  cell_PCA5_a50: adj=-1.0000 LOO_r=0.0485 IS_r=0.4273 gap=0.3788 F1=0.2134 QWK=0.0000
  cell_PCA5_a100: adj=-1.0000 LOO_r=0.0518 IS_r=0.4273 gap=0.3755 F1=0.2134 QWK=0.0000
  cell_PCA8_a0.1: adj=-1.0000 LOO_r=-0.2321 IS_r=0.4482 gap=0.6804 F1=0.1935 QWK=-0.2143
  cell_PCA8_a1: adj=-1.0000 LOO_r=-0.2320 IS_r=0.4482 gap=0.6802 F1=0.1935 QWK=-0.2143
  cell_PCA8_a5: adj=-1.0000 LOO_r=-0.2313 IS_r=0.4482 gap=0.6795 F1=0.1935 QWK=-0.2143
  cell_PCA8_a10: adj=-1.0000 LOO_r=-0.2300 IS_r=0.4482 gap=0.6782 F1=0.1935 QWK=-0.2143
  cell_PCA8_a50: adj=-1.0000 LOO_r=-0.2187 IS_r=0.4481 gap=0.6668 F1=0.1890 QWK=-0.1481
  cell_PCA8_a100: adj=-1.0000 LOO_r=-0.2054 IS_r=0.4479 gap=0.6533 F1=0.1890 QWK=-0.1481
  cell_PCA10_a0.1: adj=-1.0000 LOO_r=-0.3974 IS_r=0.4719 gap=0.8693 F1=0.1333 QWK=-0.4000
  cell_PCA10_a1: adj=-1.0000 LOO_r=-0.3970 IS_r=0.4719 gap=0.8689 F1=0.1333 QWK=-0.4000
  cell_PCA10_a5: adj=-1.0000 LOO_r=-0.3949 IS_r=0.4719 gap=0.8668 F1=0.1333 QWK=-0.4000
  cell_PCA10_a10: adj=-1.0000 LOO_r=-0.3923 IS_r=0.4719 gap=0.8642 F1=0.1333 QWK=-0.4000
  cell_PCA10_a50: adj=-1.0000 LOO_r=-0.3730 IS_r=0.4716 gap=0.8446 F1=0.1333 QWK=-0.4000
  cell_PCA10_a100: adj=-1.0000 LOO_r=-0.3517 IS_r=0.4708 gap=0.8225 F1=0.1290 QWK=-0.3448
  cell_PCA12_a0.1: adj=-1.0000 LOO_r=-0.1605 IS_r=0.7871 gap=0.9476 F1=0.1414 QWK=-0.2963
  cell_PCA12_a1: adj=-1.0000 LOO_r=-0.1609 IS_r=0.7871 gap=0.9480 F1=0.1414 QWK=-0.2963
  cell_PCA12_a5: adj=-1.0000 LOO_r=-0.1627 IS_r=0.7869 gap=0.9496 F1=0.1414 QWK=-0.2963
  cell_PCA12_a10: adj=-1.0000 LOO_r=-0.1651 IS_r=0.7865 gap=0.9516 F1=0.1414 QWK=-0.2963
  cell_PCA12_a50: adj=-1.0000 LOO_r=-0.1785 IS_r=0.7809 gap=0.9595 F1=0.1458 QWK=-0.3571
  cell_PCA12_a100: adj=-1.0000 LOO_r=-0.1869 IS_r=0.7695 gap=0.9564 F1=0.1458 QWK=-0.3571
