Round 16 Details
================================================================================

Approach: LOO-safe PC selection from musk_gland + musk_tumor PCA(20) + gland_frac
Models: Ridge, ElasticNet only (per human instructions)
PC selection: inside each LOO fold, select top-k PCs by |pearsonr(PC, y_train)|.

Best model: ridge_a10_gPC4_tPC6_interp0
Description: Ridge(a=10) gPC(4)+tPC(6)+interp(0) [f=10]
LOO Pearson r: 0.8033
IS Pearson r: 0.9047
Gap: 0.1014
Adjusted: 0.8033

All configurations (sorted by adjusted):
  ridge_a0.5_gPC4_tPC4_interp1: adj=0.7316 LOO_r=0.7395 IS_r=0.9053 gap=0.1658 F1=0.5805 QWK=0.6286
  enet_a0.05_l10.5_gPC4_tPC4_interp0: adj=0.7314 LOO_r=0.7379 IS_r=0.9010 gap=0.1631 F1=0.5805 QWK=0.6286
  enet_a0.1_l10.3_gPC4_tPC4_interp0: adj=0.7310 LOO_r=0.7369 IS_r=0.8987 gap=0.1618 F1=0.6109 QWK=0.6471
  enet_a0.1_l10.3_gPC4_tPC5_interp1: adj=0.7301 LOO_r=0.7372 IS_r=0.9013 gap=0.1641 F1=0.6111 QWK=0.6667
  enet_a0.1_l10.3_gPC4_tPC4_interp1: adj=0.7300 LOO_r=0.7363 IS_r=0.8987 gap=0.1624 F1=0.6109 QWK=0.6471
  ridge_a10_gPC7_tPC6_interp1: adj=0.7298 LOO_r=0.7405 IS_r=0.9119 gap=0.1714 F1=0.5417 QWK=0.5625
  enet_a0.1_l10.3_gPC4_tPC5_interp0: adj=0.7295 LOO_r=0.7367 IS_r=0.9013 gap=0.1645 F1=0.6111 QWK=0.6667
  ridge_a0.5_gPC3_tPC6_interp1: adj=0.7295 LOO_r=0.7299 IS_r=0.8807 gap=0.1509 F1=0.6111 QWK=0.6667
  enet_a0.01_l10.1_gPC4_tPC4_interp1: adj=0.7293 LOO_r=0.7380 IS_r=0.9054 gap=0.1674 F1=0.5805 QWK=0.6286
  ridge_a0.1_gPC2_tPC6_interp0: adj=0.7290 LOO_r=0.7290 IS_r=0.8780 gap=0.1490 F1=0.6100 QWK=0.6471
  ridge_a0.01_gPC2_tPC6_interp0: adj=0.7289 LOO_r=0.7289 IS_r=0.8780 gap=0.1491 F1=0.6100 QWK=0.6471
  ridge_a0.5_gPC2_tPC6_interp0: adj=0.7288 LOO_r=0.7288 IS_r=0.8778 gap=0.1490 F1=0.6100 QWK=0.6471
